open;close;high;low;volume;time;rsi;mm_7;mm_21
95583.0;95619.0;95624.0;95573.0;21297;2019.01.14 09:25:00;39.02327393133017;95627.84876653283;95805.93708207966
95619.0;95649.0;95680.0;95598.0;29747;2019.01.14 09:30:00;40.45136762215287;95633.13657489962;95791.67007461787
95655.0;95655.0;95675.0;95649.0;14210;2019.01.14 09:35:00;40.74100876560009;95638.60243117472;95779.24552237988
95655.0;95644.0;95665.0;95578.0;36966;2019.01.14 09:40:00;40.36541127345129;95639.95182338104;95766.95047489079
95644.0;95690.0;95711.0;95644.0;37588;2019.01.14 09:45:00;42.67167368519867;95652.46386753579;95759.95497717345
95690.0;95736.0;95792.0;95665.0;54432;2019.01.14 09:50:00;44.89540205160039;95673.34790065183;95757.77725197584
95741.0;95797.0;95823.0;95711.0;39425;2019.01.14 09:55:00;47.7024462887084;95704.26092548887;95761.34295634167
95797.0;95792.0;95894.0;95787.0;58322;2019.01.14 10:00:00;47.49550957620849;95726.19569411664;95764.1299603106
95792.0;95731.0;95797.0;95711.0;43895;2019.01.14 10:05:00;45.00981720343795;95727.39677058748;95761.11814573691
95726.0;95792.0;95802.0;95700.0;37984;2019.01.14 10:10:00;47.85736615363439;95743.54757794061;95763.92558703355
95797.0;95853.0;95859.0;95726.0;40015;2019.01.14 10:15:00;50.53041974694744;95770.91068345546;95772.02326093959
95853.0;95838.0;95889.0;95767.0;54458;2019.01.14 10:20:00;49.87436972883868;95787.68301259159;95778.02114630872
95838.0;95843.0;95879.0;95792.0;26094;2019.01.14 10:25:00;50.09971539985362;95801.5122594437;95783.9283148261
95843.0;96063.0;96068.0;95833.0;103010;2019.01.14 10:30:00;58.6372888409549;95866.88419458277;95809.29846802373
96068.0;96399.0;96557.0;96063.0;159496;2019.01.14 10:35:00;67.49916940028619;95999.91314593708;95862.90769820339
96399.0;96328.0;96404.0;96287.0;50745;2019.01.14 10:40:00;64.4542826036663;96081.93485945281;95905.18881654853
96333.0;96287.0;96374.0;96236.0;42254;2019.01.14 10:45:00;62.74864796008759;96133.20114458961;95939.89892413502
96287.0;96246.0;96323.0;96231.0;37423;2019.01.14 10:50:00;61.06251309180992;96161.40085844221;95967.7262946682
96241.0;96190.0;96272.0;96159.0;50654;2019.01.14 10:55:00;58.81020295699204;96168.55064383167;95987.93299515291
96190.0;96368.0;96384.0;96185.0;56365;2019.01.14 11:00:00;63.30007601684208;96218.41298287375;96022.48454104809
96363.0;96323.0;96425.0;96317.0;48440;2019.01.14 11:05:00;61.53073149472645;96244.55973715532;96049.80412822554
96328.0;96221.0;96348.0;96200.0;39396;2019.01.14 11:10:00;57.71508132945138;96238.66980286648;96065.36738929595
96221.0;96190.0;96297.0;96175.0;35884;2019.01.14 11:15:00;56.60193394611487;96226.50235214987;96076.69762663268
96190.0;96307.0;96312.0;96175.0;33125;2019.01.14 11:20:00;59.66563348856363;96246.6267641124;96097.63420602972
96307.0;96266.0;96338.0;96231.0;27228;2019.01.14 11:25:00;58.16417689156502;96251.4700730843;96112.94018729974
96272.0;96231.0;96323.0;96195.0;27240;2019.01.14 11:30:00;56.88895983518864;96246.35255481323;96123.67289754521
96231.0;96246.0;96297.0;96215.0;26359;2019.01.14 11:35:00;57.30754733246797;96246.26441610992;96134.79354322293
96241.0;96323.0;96348.0;96236.0;34899;2019.01.14 11:40:00;59.41817763114338;96265.44831208244;96151.90322111176
96323.0;96312.0;96333.0;96261.0;33350;2019.01.14 11:45:00;58.98349038606715;96277.08623406183;96166.45747373796
96307.0;96246.0;96374.0;96221.0;44233;2019.01.14 11:50:00;56.40020203827971;96269.31467554637;96173.68861248906
96241.0;96164.0;96251.0;96078.0;80409;2019.01.14 11:55:00;53.36985899712774;96242.98600665978;96172.80782953551
96159.0;96226.0;96287.0;96154.0;49400;2019.01.14 12:00:00;55.26616537322319;96238.73950499482;96177.64348139591
96231.0;96246.0;96287.0;96195.0;44648;2019.01.14 12:05:00;55.8702461195028;96240.55462874612;96183.85771035991
96251.0;96164.0;96261.0;96139.0;35753;2019.01.14 12:10:00;52.81874053211751;96221.41597155959;96182.05246396356
96164.0;96170.0;96190.0;96098.0;31926;2019.01.14 12:15:00;53.01467759782461;96208.56197866969;96180.95678542141
96170.0;96185.0;96205.0;96139.0;22247;2019.01.14 12:20:00;53.51823971522763;96202.67148400226;96181.3243503831
96190.0;96195.0;96226.0;96164.0;20773;2019.01.14 12:25:00;53.86222481821547;96200.7536130017;96182.56759125736
96190.0;96159.0;96200.0;96083.0;51018;2019.01.14 12:30:00;52.40536186744939;96190.31520975128;96180.42508296124
96159.0;96190.0;96272.0;96134.0;53107;2019.01.14 12:35:00;53.53465370126937;96190.23640731347;96181.29552996476
96195.0;96236.0;96307.0;96185.0;46673;2019.01.14 12:40:00;55.18125112278327;96201.67730548509;96186.26866360434
96231.0;96226.0;96251.0;96175.0;24335;2019.01.14 12:45:00;54.74120501896197;96207.75797911381;96189.88060327666
96226.0;96226.0;96261.0;96185.0;25853;2019.01.14 12:50:00;54.74120501896198;96212.31848433535;96193.16418479696
96226.0;96149.0;96261.0;96129.0;38420;2019.01.14 12:55:00;51.31059594171391;96196.48886325152;96189.14925890631
96154.0;96200.0;96236.0;96129.0;28899;2019.01.14 13:00:00;53.33193661429932;96197.36664743864;96190.13568991482
96200.0;96272.0;96292.0;96190.0;34675;2019.01.14 13:05:00;56.0215549206285;96216.02498557899;96197.57789992256
96272.0;96317.0;96338.0;96251.0;44099;2019.01.14 13:10:00;57.61467960367478;96241.26873918425;96208.43445447505
96317.0;96384.0;96384.0;96256.0;40903;2019.01.14 13:15:00;59.87303311102018;96276.95155438819;96224.39495861369
96379.0;96348.0;96414.0;96323.0;41796;2019.01.14 13:20:00;58.13629277056896;96294.71366579115;96235.63178055789
